# GENERATED convenience view (thin projection) by gene_pathway_build.py: pathway_group is the IDF-derived primary AD bucket (specificity-weighted argmax over matched GO/Reactome/OpenTargets terms; ties broken by AD priority). The ontology annotations in gene_pathways_api.jsonl are the truth; this single-bucket column is a derived convenience. Do not hand-edit.
gene_symbol,pathway_group,notes
TRIP4,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.11); go:histone acetyltransferase binding (idf=5.11); go:transcription coactivator activity (idf=4.04); go:positive regulation of DNA-templated transcription (idf=2.79) (+1 more) | captured 25 GO / 1 Reactome / 1 OT
VDR,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.00); go:mRNA transcription by RNA polymerase II (idf=5.00); reactome:Nuclear Receptor transcription pathway (idf=4.82); open_targets:Nuclear Receptor transcription pathway (idf=4.82) (+9 more) | captured 44 GO / 3 Reactome / 3 OT
VGF,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=4.90); reactome:NGF-stimulated transcription (idf=4.90); open_targets:NGF-stimulated transcription (idf=4.90) | captured 11 GO / 3 Reactome / 3 OT
WDHD1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=3.37); go:chromatin binding (idf=3.37) | captured 10 GO / 0 Reactome / 0 OT
WRAP53,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=4.90); go:histone binding (idf=4.90) | captured 31 GO / 2 Reactome / 2 OT
WWC1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.92); reactome:NOTCH3 Intracellular Domain Regulates Transcription (idf=5.92); open_targets:NOTCH3 Intracellular Domain Regulates Transcription (idf=5.92); go:transcription coactivator activity (idf=4.04) (+3 more) | captured 21 GO / 2 Reactome / 2 OT
WWOX,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); reactome:Negative regulation of activity of TFAP2 (AP-2) family transcription factors (idf=6.61); reactome:Activation of the TFAP2 (AP-2) family of transcription factors (idf=6.61); open_targets:Activation of the TFAP2 (AP-2) family of transcription factors (idf=6.61) (+5 more) | captured 21 GO / 3 Reactome / 3 OT
YAP1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.61); reactome:RUNX3 regulates YAP1-mediated transcription (idf=6.61); open_targets:RUNX3 regulates YAP1-mediated transcription (idf=6.61); reactome:RUNX1 regulates transcription of genes involved in differentiation of HSCs (idf=5.22) (+14 more) | captured 52 GO / 14 Reactome / 13 OT
YWHAQ,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.69); reactome:Regulation of localization of FOXO transcription factors (idf=5.69); open_targets:Regulation of localization of FOXO transcription factors (idf=5.69); go:negative regulation of DNA-templated transcription (idf=3.28) (+1 more) | captured 18 GO / 8 Reactome / 8 OT
ZCWPW1,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=6.20); go:histone H3K4me3 reader activity (idf=6.20); go:epigenetic regulation of gene expression (idf=5.36) | captured 11 GO / 0 Reactome / 0 OT
ZFHX3,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=5.51); reactome:RUNX3 regulates CDKN1A transcription (idf=5.51); open_targets:RUNX3 regulates CDKN1A transcription (idf=5.51); go:DNA-binding transcription repressor activity, RNA polymerase II-specific (idf=4.04) (+11 more) | captured 27 GO / 1 Reactome / 1 OT"
ZKSCAN1,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=5.69); reactome:Generic Transcription Pathway (idf=5.69); open_targets:Generic Transcription Pathway (idf=5.69); go:DNA-binding transcription factor activity, RNA polymerase II-specific (idf=2.96) (+3 more) | captured 8 GO / 1 Reactome / 1 OT"
ZNF12,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.69); reactome:Generic Transcription Pathway (idf=5.69); open_targets:Generic Transcription Pathway (idf=5.69); go:negative regulation of DNA-templated transcription (idf=3.28) (+4 more) | captured 9 GO / 1 Reactome / 1 OT
ZNF224,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.69); reactome:Generic Transcription Pathway (idf=5.69); open_targets:Generic Transcription Pathway (idf=5.69); go:transcription repressor complex (idf=5.36) (+7 more) | captured 12 GO / 2 Reactome / 2 OT
ZNF24,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=3.39); go:DNA-binding transcription activator activity, RNA polymerase II-specific (idf=3.39); go:negative regulation of DNA-templated transcription (idf=3.28); go:DNA-binding transcription factor activity (idf=3.16) (+3 more) | captured 13 GO / 0 Reactome / 0 OT"
ZNF292,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=3.39); go:DNA-binding transcription activator activity, RNA polymerase II-specific (idf=3.39); go:DNA-binding transcription factor activity, RNA polymerase II-specific (idf=2.96); go:regulation of transcription by RNA polymerase II (idf=2.77) (+1 more) | captured 6 GO / 0 Reactome / 0 OT"
ZNF408,epigenetic_transcription,"primary=epigenetic_transcription IDF-derived (score=2.96); go:DNA-binding transcription factor activity, RNA polymerase II-specific (idf=2.96); go:regulation of transcription by RNA polymerase II (idf=2.77) | captured 6 GO / 0 Reactome / 0 OT"
ZNF423,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=5.51); reactome:Transcriptional regulation of brown and beige adipocyte differentiation by EBF2 (idf=5.51); open_targets:Transcriptional regulation of brown and beige adipocyte differentiation by EBF2 (idf=5.51); go:negative regulation of DNA-templated transcription (idf=3.28) (+4 more) | captured 14 GO / 1 Reactome / 1 OT
ZNF488,epigenetic_transcription,primary=epigenetic_transcription IDF-derived (score=2.75); go:regulation of DNA-templated transcription (idf=2.75) | captured 6 GO / 0 Reactome / 0 OT
ABCA1,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:regulation of high-density lipoprotein particle assembly (idf=6.61); go:positive regulation of high-density lipoprotein particle assembly (idf=6.61); go:sphingolipid translocation (idf=6.61) (+30 more) | captured 79 GO / 4 Reactome / 4 OT
ABCA7,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.20); go:apolipoprotein A-I-mediated signaling pathway (idf=6.20); go:positive regulation of phospholipid efflux (idf=6.20); go:apolipoprotein A-I receptor activity (idf=6.20) (+10 more) | captured 50 GO / 1 Reactome / 1 OT
ABCD1,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:regulation of fatty acid beta-oxidation (idf=6.61); go:long-chain fatty acid catabolic process (idf=6.61); reactome:Beta-oxidation of very long chain fatty acids (idf=6.61) (+16 more) | captured 50 GO / 6 Reactome / 6 OT
ABCD2,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.20); go:long-chain fatty acid import into peroxisome (idf=6.20); go:positive regulation of fatty acid beta-oxidation (idf=6.20); go:very long-chain fatty acid catabolic process (idf=6.20) (+9 more) | captured 28 GO / 2 Reactome / 2 OT
ABCG1,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:cellular response to high density lipoprotein particle stimulus (idf=6.61); go:ABC-type sterol transporter activity (idf=6.61); go:intracellular cholesterol transport (idf=5.92) (+24 more) | captured 48 GO / 3 Reactome / 3 OT
ACACA,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=5.92); go:lipid biosynthetic process (idf=5.92); go:fatty acid biosynthetic process (idf=4.66) | captured 15 GO / 6 Reactome / 6 OT
ACER3,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); reactome:Sphingolipid catabolism (idf=6.61); open_targets:Sphingolipid catabolism (idf=6.61); go:sphingolipid metabolic process (idf=5.36) | captured 15 GO / 1 Reactome / 1 OT
ACSL4,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:very long-chain fatty acid-CoA ligase activity (idf=6.61); reactome:Intracellular metabolism of fatty acids regulates insulin secretion (idf=6.61); open_targets:Intracellular metabolism of fatty acids regulates insulin secretion (idf=6.61) (+7 more) | captured 26 GO / 2 Reactome / 2 OT
ACSL6,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.20); go:long-chain fatty acid metabolic process (idf=6.20); go:long-chain fatty acid-CoA ligase activity (idf=6.20); go:very long-chain fatty acid metabolic process (idf=5.92) (+1 more) | captured 16 GO / 1 Reactome / 1 OT
ADIPOQ,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:negative regulation of cholesterol import (idf=6.61); go:fatty acid oxidation (idf=6.20); go:positive regulation of fatty acid metabolic process (idf=6.20) (+3 more) | captured 63 GO / 3 Reactome / 3 OT
ADRA2A,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=5.51); go:negative regulation of lipid catabolic process (idf=5.51) | captured 66 GO / 6 Reactome / 6 OT
AKT1,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:negative regulation of long-chain fatty acid import across plasma membrane (idf=6.61); go:negative regulation of fatty acid beta-oxidation (idf=6.20); go:cellular response to oxidised low-density lipoprotein particle stimulus (idf=5.51) (+1 more) | captured 141 GO / 43 Reactome / 43 OT
ALB,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=5.36); go:fatty acid binding (idf=5.36); reactome:HDL remodeling (idf=5.36); open_targets:HDL remodeling (idf=5.36) | captured 31 GO / 12 Reactome / 12 OT
ALG13,lipid_metabolism,"primary=lipid_metabolism IDF-derived (score=6.61); reactome:Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein (idf=6.61); open_targets:Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein (idf=6.61) | captured 11 GO / 2 Reactome / 2 OT"
ANGPTL4,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:negative regulation of very-low-density lipoprotein particle remodeling (idf=6.61); go:regulation of chylomicron remodeling (idf=6.61); go:regulation of triglyceride transport (idf=6.61) (+2 more) | captured 19 GO / 5 Reactome / 5 OT
ANO4,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.20); go:plasma membrane phospholipid scrambling (idf=6.20); go:phospholipid scramblase activity (idf=6.20); go:phospholipid translocation (idf=5.00) | captured 9 GO / 2 Reactome / 2 OT
ANO5,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=5.00); go:phospholipid translocation (idf=5.00) | captured 10 GO / 3 Reactome / 3 OT
APOB,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:mature chylomicron (idf=6.61); go:triglyceride mobilization (idf=6.20); go:positive regulation of lipid storage (idf=6.20) (+37 more) | captured 50 GO / 20 Reactome / 20 OT
APOC1,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.20); go:negative regulation of triglyceride catabolic process (idf=6.20); go:negative regulation of very-low-density lipoprotein particle clearance (idf=6.20); go:regulation of cholesterol transport (idf=6.20) (+26 more) | captured 31 GO / 3 Reactome / 3 OT
APOC2,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:positive regulation of triglyceride catabolic process (idf=6.61); go:positive regulation of very-low-density lipoprotein particle remodeling (idf=6.61); go:triglyceride-rich lipoprotein particle remodeling (idf=6.61) (+32 more) | captured 37 GO / 6 Reactome / 6 OT
APOC4,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=5.92); reactome:VLDL assembly (idf=5.92); reactome:VLDL clearance (idf=5.92); open_targets:VLDL assembly (idf=5.92) (+9 more) | captured 8 GO / 3 Reactome / 3 OT
APOE,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:lipid transport involved in lipid storage (idf=6.61); go:negative regulation of cholesterol biosynthetic process (idf=6.61); go:triglyceride-rich lipoprotein particle clearance (idf=6.61) (+61 more) | captured 157 GO / 12 Reactome / 12 OT
ARHGAP26,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=4.12); go:phospholipid binding (idf=4.12) | captured 14 GO / 10 Reactome / 10 OT
ARSA,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=5.00); reactome:Glycosphingolipid catabolism (idf=5.00); open_targets:Glycosphingolipid catabolism (idf=5.00) | captured 12 GO / 3 Reactome / 3 OT
ARSB,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=5.00); reactome:Glycosphingolipid catabolism (idf=5.00); open_targets:Glycosphingolipid catabolism (idf=5.00) | captured 22 GO / 5 Reactome / 5 OT
ATG13,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.20); go:regulation of protein lipidation (idf=6.20) | captured 24 GO / 1 Reactome / 1 OT
ATP8A2,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:positive regulation of phospholipid translocation (idf=6.61); go:aminophospholipid translocation (idf=6.61); go:aminophospholipid flippase activity (idf=6.61) (+4 more) | captured 31 GO / 1 Reactome / 1 OT
ATP8B4,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=5.92); go:phospholipid-translocating ATPase complex (idf=5.92); go:ATPase-coupled intramembrane lipid carrier activity (idf=5.22); go:phospholipid transport (idf=5.00) (+1 more) | captured 18 GO / 2 Reactome / 2 OT
ATP9B,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=5.22); go:ATPase-coupled intramembrane lipid carrier activity (idf=5.22); go:phospholipid transport (idf=5.00); go:phospholipid translocation (idf=5.00) | captured 17 GO / 1 Reactome / 1 OT
B4GALT1,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=4.08); go:lipid metabolic process (idf=4.08) | captured 33 GO / 8 Reactome / 8 OT
BIN1,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:lipid tube assembly (idf=6.61); go:lipid tube (idf=6.61); go:lipid binding (idf=4.21) (+1 more) | captured 57 GO / 1 Reactome / 1 OT
C19orf12,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=4.59); go:lipid droplet (idf=4.59); go:lipid metabolic process (idf=4.08) | captured 10 GO / 0 Reactome / 0 OT
CAV1,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.20); go:oxysterol binding (idf=6.20); go:triglyceride metabolic process (idf=5.69); go:regulation of fatty acid metabolic process (idf=5.69) (+8 more) | captured 120 GO / 27 Reactome / 27 OT
CDH13,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.20); go:low-density lipoprotein particle mediated signaling (idf=6.20); go:lipoprotein particle binding (idf=5.69); go:low-density lipoprotein particle binding (idf=5.11) | captured 53 GO / 1 Reactome / 1 OT
CERS1,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=5.51); reactome:Sphingolipid de novo biosynthesis (idf=5.51); open_targets:Sphingolipid de novo biosynthesis (idf=5.51); go:sphingolipid metabolic process (idf=5.36) (+1 more) | captured 15 GO / 1 Reactome / 1 OT
CETP,lipid_metabolism,primary=lipid_metabolism IDF-derived (score=6.61); go:regulation of cholesterol efflux (idf=6.61); go:triglyceride transport (idf=6.61); go:positive regulation of phospholipid transport (idf=6.61) (+26 more) | captured 29 GO / 3 Reactome / 3 OT
